observation_id,match_date,lock_time,source_record,match,league,market_type,market_scope,minute,score_state,line,selection,odds_at_lock,market_prob,model_prob,confidence_color,value_score,stability_score,uncertainty_penalty,official_plan,simulated_only,result_score,settlement,hit,return_amount,profit,source,snapshot_file,review_record,notes
2026-06-05-hungary-finland-u25,2026-06-05,2026-06-05T17:28+08:00,records/17_check/2026-06-05.md,Hungary vs Finland,International Friendly,total,full_time,pre_match,0-0,2.5,under,1.80,,,yellow,4,3,6,false,true,2-1,lost,false,0.00,-1.00,review,records/odds_snapshots/2026-06-05-171718.json,records/reviews/2026-06-05.md,"Under 2.5 lost to the 2-1 endpoint; low-water under alone was insufficient."
2026-06-05-canada-ireland-u25,2026-06-05,2026-06-05T17:28+08:00,records/17_check/2026-06-05.md,Canada vs Ireland,International Friendly,total,full_time,pre_match,0-0,2.5,under,1.75,,,green,6,5,4,false,true,1-1,won,true,1.75,0.75,review,records/odds_snapshots/2026-06-05-171718.json,records/reviews/2026-06-05.md,"Observation green hit; cross-source under signal was the cleanest pre-match edge."
2026-06-08-netherlands-uzbekistan-hcap-minus2-draw,2026-06-08,2026-06-08T21:05+08:00,records/21_final/2026-06-08.md,Netherlands vs Uzbekistan,International Friendly,handicap_1x2,full_time,pre_match,0-0,-2,home_handicap_draw,3.85,,,yellow,4,5,5,false,true,2-1,handicap_loss,false,0.00,-1.00,review,records/odds_store/2026-06-08-summary.md,records/reviews/2026-06-09.md,"Yellow double-choice observation split into separate rows; -2 let-draw missed because Netherlands won by only one."
2026-06-08-netherlands-uzbekistan-hcap-minus2-loss,2026-06-08,2026-06-08T21:05+08:00,records/21_final/2026-06-08.md,Netherlands vs Uzbekistan,International Friendly,handicap_1x2,full_time,pre_match,0-0,-2,home_handicap_loss,2.05,,,yellow,4,5,5,false,true,2-1,handicap_loss,true,2.05,1.05,review,records/odds_store/2026-06-08-summary.md,records/reviews/2026-06-09.md,"Yellow double-choice observation hit; low-price favorite won but failed to cover deep handicap."
2026-06-08-france-northern-ireland-hcap-minus2-win,2026-06-08,2026-06-08T21:05+08:00,records/21_final/2026-06-08.md,France vs Northern Ireland,International Friendly,handicap_1x2,full_time,pre_match,0-0,-2,home_handicap_win,1.92,,,green,5,6,5,false,true,3-1,handicap_draw,false,0.00,-1.00,review,records/odds_store/2026-06-08-summary.md,records/reviews/2026-06-09.md,"Observation green failed; France won by two so -2 settled as let-draw."
2026-06-08-peru-spain-hcap-plus2-loss,2026-06-08,2026-06-08T21:05+08:00,records/21_final/2026-06-08.md,Peru vs Spain,International Friendly,handicap_1x2,full_time,pre_match,0-0,+2,home_handicap_loss,2.02,,,yellow,4,4,5,false,true,1-3,handicap_draw,false,0.00,-1.00,review,records/odds_store/2026-06-08-summary.md,records/reviews/2026-06-09.md,"Yellow observation failed; Spain won by two so Peru +2 settled as let-draw."
2026-06-09-china-thailand-hcap-minus1-loss,2026-06-09,2026-06-09T12:56+08:00,records/1130_initial/2026-06-09.md,China vs Thailand,International Friendly,handicap_1x2,full_time,pre_match,0-0,-1,home_handicap_loss,1.82,48.64,,yellow,4,4,5,false,true,,,,,,prediction,records/odds_snapshots/2026-06-09-124734.json,,"Initial-window yellow observation; covers China draw/loss or one-goal win."
2026-06-09-hungary-kazakhstan-hcap-minus2-draw,2026-06-09,2026-06-09T12:56+08:00,records/1130_initial/2026-06-09.md,Hungary vs Kazakhstan,International Friendly,handicap_1x2,full_time,pre_match,0-0,-2,home_handicap_draw,3.55,24.94,,yellow,3,4,5,false,true,,,,,,prediction,records/odds_snapshots/2026-06-09-124734.json,,"Initial-window yellow double-choice observation split into separate rows; draw means Hungary wins by exactly two."
2026-06-09-hungary-kazakhstan-hcap-minus2-loss,2026-06-09,2026-06-09T12:56+08:00,records/1130_initial/2026-06-09.md,Hungary vs Kazakhstan,International Friendly,handicap_1x2,full_time,pre_match,0-0,-2,home_handicap_loss,1.90,46.60,,yellow,3,4,5,false,true,,,,,,prediction,records/odds_snapshots/2026-06-09-124734.json,,"Initial-window yellow double-choice observation split into separate rows; loss covers Hungary not winning by two or more."
2026-06-09-argentina-iceland-hcap-minus2-win,2026-06-09,2026-06-09T12:56+08:00,records/1130_initial/2026-06-09.md,Argentina vs Iceland,International Friendly,handicap_1x2,full_time,pre_match,0-0,-2,home_handicap_win,2.14,41.43,,green,6,6,5,false,true,,,,,,prediction,records/odds_snapshots/2026-06-09-124734.json,,"Observation green only; requires Argentina to win by three or more."
